ActionIndex;EnumName (Fiesta-Heroes-Doku);Status;Details / Zuordnung
57;SAA_MAXHPRATEDAMAGE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
58;SAA_METAABILITY;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
59;SAA_METASKIN;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
60;SAA_MISSRATE;Implementiert;-> Buffs.MissRatePercent
61;SAA_REFLECTDAMAGE;Implementiert;-> Buffs.ReflectDamagePercent
62;SAA_RELESEACTION;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
63;SAA_SCANENEMYUSER;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
64;SAA_TARGETALL;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
65;SAA_HIDEENEMY;Bedeutung bestaetigt, kein Konsument;Unsichtbarkeit ggue. Gildenfeinden, x1 verifiziert
66;SAA_TARGETNOTME;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
67;SAA_DOTDIEDAMAGE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
68;SAA_ADDALLDOTDMG;Implementiert;-> Buffs.DotDamageBonusPercent
69;SAA_ADDBLOODINGDMG;Implementiert;-> Buffs.BloodingDamageBonusPercent
70;SAA_ADDPOISONDMG;Implementiert;-> Buffs.PoisonDamageBonusPercent
71;SAA_EVASIONAMOUNT;Implementiert;-> Buffs.Evasion
72;SAA_USESPRATE;Bedeutung bestaetigt, kein Konsument;Increased SP Consumption, x6 verifiziert (150-190)
73;SAA_ACMINUS;Implementiert;-> Buffs.WeaponDefense
74;SAA_ACDOWNRATE;Implementiert;-> Buffs.WeaponDefense
75;SAA_SUBTRACTALLDOTDMG;Implementiert;-> Buffs.DotDamageBonusPercent
76;SAA_SUBTRACTBLOODINGDMG;Implementiert;-> Buffs.BloodingDamageBonusPercent
77;SAA_SUBTRACTPOISONDMG;Implementiert;-> Buffs.PoisonDamageBonusPercent
78;SAA_ATKSPEEDDOWNRATE;Implementiert;-> Buffs.AttackSpeed
79;SAA_AWAYBACK;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
80;SAA_CRITICALDOWNRATE;Implementiert;-> Buffs.CriticalRate
81;SAA_DEXMINUS;Implementiert;-> Buffs.Dex
82;SAA_HEALAMOUNTMINUS;Offen (unbelegt);Kein Vorkommen in ActionIndexA-D in allen 5 SHN-Dateien
83;SAA_MAMINUS;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
84;SAA_MADOWNRATE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
85;SAA_MAXHPDOWNRATE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
86;SAA_MRMINUS;Implementiert;-> Buffs.MagicDefense
87;SAA_MRDOWNRATE;Implementiert;-> Buffs.MagicDefense
88;SAA_SPEEDDOWNRATE;Implementiert;-> Buffs.MoveSpeed
89;SAA_STRMINUS;Implementiert;-> Buffs.Str
90;SAA_TBMINUS;Implementiert;-> Buffs.Evasion
91;SAA_TBDOWNRATE;Implementiert;-> Buffs.Evasion
92;SAA_THMINUS;Implementiert;-> Buffs.Aim
93;SAA_THDOWNRATE;Implementiert;-> Buffs.Aim
94;SAA_WCMINUS;Implementiert;-> Buffs.WeaponDamage
95;SAA_WCDOWNRATE;Implementiert;-> Buffs.WeaponDamage
96;SAA_DOTWCRATE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
97;SAA_TARGETNUMVER;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
98;SAA_DOTMARATE;Offen (unbelegt);Kein Vorkommen in ActionIndexA-D in allen 5 SHN-Dateien
99;SAA_MENDOWNRATE;Implementiert;-> Buffs.Spr
100;SAA_USESPDOWN;Bedeutung bestaetigt, kein Konsument;Reduced SP Consumption, x25 verifiziert (60-240)
101;SAA_CRIUPRATE;Offen (unbelegt);Kein Vorkommen in ActionIndexA-D in allen 5 SHN-Dateien
102;SAA_MRSHIELDRATE;Bedeutung bestaetigt, kein Konsument;Ignore Magic Damage, x1 verifiziert
103;SAA_ACSHIELDRATE;Bedeutung bestaetigt, kein Konsument;Ignore Physical Damage, x1 verifiziert
104;SAA_MONSTERSTICK;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
105;SAA_SETACTIVESKILL;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
106;SAA_HPRATEDAMAGE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
107;SAA_EXPRATE;Implementiert;-> Buffs.ExpBonusPercent
108;SAA_DROPRATE;Bedeutung bestaetigt, kein Konsument;Drop-Rate-Bonus, x13 verifiziert
109;SAA_AWAYBACKSPOT;Bedeutung bestaetigt, kein Konsument;"Pull-Effekt (""Pulled to the eye of storm""), x1 verifiziert - kein Bewegungs-Mechanismus"
110;SAA_STOPANI;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
111;SAA_DOTDMGDOWNRATE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
112;SAA_SHIELDRATE;Bedeutung bestaetigt, kein Konsument;Absorbs damage, x16 verifiziert (250-280)
113;SAA_LPAMOUNT;Bedeutung bestaetigt, kein Konsument;LP vermutlich = SP fuer Sentinel/Savior (Crusader/Templar), keine eigene Ressource - aber kein SP-Regenerationsraten-Mechanismus im Code vorhanden
114;SAA_MINHP;Implementiert;-> Buffs.MinHP
115;SAA_DMGDOWNRATE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
116;SAA_SPEEDRESISTRATE;Bedeutung bestaetigt, kein Konsument;Speed-Down-Immunitaet, x1 verifiziert
117;SAA_MELEE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
118;SAA_RANGE;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
119;SAA_ALLSTATPLUS;Implementiert;-> Buffs.Str+End+Dex+Int+Spr
120;SAA_RANGEOVER;Existenz belegt, Wirkung unklar (vollstaendig nachgeprueft);Keine Einzel-Slot-Klarheit gefunden - entweder keine Beschreibung oder nicht darstellbare Kodierung (CJK)
